m,mean,ci_lo,ci_hi
0.0,0.101,0.07973749999999999,0.121
0.001724137931034483,0.10049999999999999,0.079,0.129
0.003448275862068966,0.095,0.0815,0.10800000000000001
0.005172413793103449,0.174,0.08449999999999999,0.30700000000000005
0.006896551724137932,0.233,0.1535,0.3202625
0.008620689655172415,0.44099999999999995,0.167,0.72405
0.010344827586206898,0.6479999999999999,0.39797499999999997,0.8474999999999999
0.012068965517241381,0.8135,0.6479999999999999,0.9195
0.013793103448275864,0.885,0.833,0.927
0.015517241379310346,0.883,0.834,0.9235
0.01724137931034483,0.9,0.8432124999999999,0.9555
0.018965517241379314,0.885,0.834,0.9348124999999999
0.020689655172413796,0.9345000000000001,0.9114999999999999,0.9547625
0.02241379310344828,0.9325000000000001,0.8945000000000001,0.9597625
0.024137931034482762,0.925,0.892,0.95
0.025862068965517244,0.9400000000000001,0.8952125,0.968
0.027586206896551727,0.951,0.9385,0.9622625
0.02931034482758621,0.95,0.9455,0.9545
0.031034482758620693,0.9555,0.942475,0.9685
0.032758620689655175,0.9504999999999999,0.924,0.969
0.03448275862068966,0.9550000000000001,0.9390000000000001,0.9644999999999999
0.03620689655172414,0.9494999999999999,0.9267375,0.966
0.03793103448275863,0.942,0.9285,0.955525
0.039655172413793106,0.9425000000000001,0.9255000000000001,0.9585000000000001
0.04137931034482759,0.9505000000000001,0.9225,0.9734999999999999
0.04310344827586207,0.9515,0.9254999999999999,0.9727874999999999
0.04482758620689656,0.9605,0.9495000000000001,0.9680000000000001
0.04655172413793104,0.9594999999999999,0.9545,0.9635
0.048275862068965524,0.9540000000000001,0.951,0.9585000000000001
0.05,0.951,0.9415000000000001,0.9644999999999999
